service_id,date,exception_type
T-0112-Fri,20170407,1
T-0112-Thu,20170406,1
T-0112-Wed,20170405,1
T-0112-Tue,20170404,1
T-0112-Mon,20170403,1
T-0112-Sun,20170402,1
T-0112-Sat,20170401,1
T-0112-Fri,20170331,1
T-0112-Thu,20170330,1
T-0112-Wed,20170329,1
T-0112-Tue,20170328,1
T-0112-Mon,20170327,1
T-0112-Sun,20170326,1
T-0112-Sat,20170325,1
T-0112-Fri,20170324,1
T-0112-Thu,20170323,1
T-0112-Wed,20170322,1
T-0112-Tue,20170321,1
T-0112-Mon,20170320,1
T-0112-Sun,20170319,1
T-0112-Sat,20170318,1
T-0112-Fri,20170317,1
T-0112-Thu,20170316,1
T-0112-Wed,20170315,1
T-0112-Tue,20170314,1
T-0112-Mon,20170313,1
T-0112-Sun,20170312,1
T-0112-Sat,20170311,1
T-0112-Fri,20170310,1
T-0112-Thu,20170309,1
T-0112-Wed,20170308,1
T-0112-Tue,20170307,1
T-0112-Mon,20170306,1
T-0112-Sun,20170305,1
T-0112-Sat,20170304,1
T-0112-Fri,20170303,1
T-0112-Thu,20170302,1
T-0112-Wed,20170301,1
T-0112-Tue,20170228,1
T-0112-Mon,20170227,1
T-0112-Sun,20170226,1
T-0112-Sat,20170225,1
T-0112-Fri,20170224,1
T-0112-Thu,20170223,1
T-0112-Wed,20170222,1
T-0112-Tue,20170221,1
T-0112-Sat,20170220,1
T-0112-Sun,20170219,1
T-0112-Sat,20170218,1
T-0112-Fri,20170217,1
T-0112-Thu,20170216,1
T-0112-Wed,20170215,1
T-0112-Tue,20170214,1
T-0112-Mon,20170213,1
T-0112-Sun,20170212,1
T-0112-Sat,20170211,1
T-0112-Fri,20170210,1
T-0112-Thu,20170209,1
T-0112-Wed,20170208,1
T-0112-Tue,20170207,1
T-0112-Mon,20170206,1
T-0112-Sun,20170205,1
T-0112-Sat,20170204,1
T-0112-Fri,20170203,1
T-0112-Thu,20170202,1
T-0112-Wed,20170201,1
T-0112-Tue,20170131,1
T-0112-Mon,20170130,1
T-0112-Sun,20170129,1
T-0112-Sat,20170128,1
T-0112-Fri,20170127,1
T-0112-Thu,20170126,1
T-0112-Wed,20170125,1
T-0112-Tue,20170124,1
T-0112-Mon,20170123,1
T-0112-Sun,20170122,1
T-0112-Sat,20170121,1
T-0112-Fri,20170120,1
T-0112-Thu,20170119,1
T-0112-Wed,20170118,1
T-0112-Tue,20170117,1
T-0112-Mon,20170116,1
T-0112-Sun,20170115,1
T-0112-Sat,20170114,1
T-0112-Fri,20170113,1
T-0112-Thu,20170112,1
B-0123-Fri,20170407,1
B-0123-Thu,20170406,1
B-0123-Wed,20170405,1
B-0123-Tue,20170404,1
B-0123-Mon,20170403,1
B-0129-Sun,20170402,1
B-0128-Sat,20170401,1
B-0123-Fri,20170331,1
B-0123-Thu,20170330,1
B-0123-Wed,20170329,1
B-0123-Tue,20170328,1
B-0123-Mon,20170327,1
B-0129-Sun,20170326,1
B-0128-Sat,20170325,1
B-0123-Fri,20170324,1
B-0123-Thu,20170323,1
B-0123-Wed,20170322,1
B-0123-Tue,20170321,1
B-0123-Mon,20170320,1
B-0129-Sun,20170319,1
B-0128-Sat,20170318,1
B-0123-Fri,20170317,1
B-0123-Thu,20170316,1
B-0123-Wed,20170315,1
B-0123-Tue,20170314,1
B-0123-Mon,20170313,1
B-0129-Sun,20170312,1
B-0128-Sat,20170311,1
B-0123-Fri,20170310,1
B-0123-Thu,20170309,1
B-0123-Wed,20170308,1
B-0123-Tue,20170307,1
B-0123-Mon,20170306,1
B-0129-Sun,20170305,1
B-0128-Sat,20170304,1
B-0123-Fri,20170303,1
B-0123-Thu,20170302,1
B-0123-Wed,20170301,1
B-0123-Tue,20170228,1
B-0123-Mon,20170227,1
B-0129-Sun,20170226,1
B-0128-Sat,20170225,1
B-0221-Fri,20170224,1
B-0221-Thu,20170223,1
B-0221-Wed,20170222,1
B-0221-Tue,20170221,1
B-0220-Sat,20170220,1
B-0219-Sun,20170219,1
B-0128-Sat,20170218,1
B-0123-Fri,20170217,1
B-0123-Thu,20170216,1
B-0123-Wed,20170215,1
B-0123-Tue,20170214,1
B-0123-Mon,20170213,1
B-0129-Sun,20170212,1
B-0128-Sat,20170211,1
B-0123-Fri,20170210,1
B-0123-Thu,20170209,1
B-0123-Wed,20170208,1
B-0123-Tue,20170207,1
B-0123-Mon,20170206,1
B-0129-Sun,20170205,1
B-0128-Sat,20170204,1
B-0123-Fri,20170203,1
B-0123-Thu,20170202,1
B-0123-Wed,20170201,1
B-0123-Tue,20170131,1
B-0123-Mon,20170130,1
B-0129-Sun,20170129,1
B-0128-Sat,20170128,1
B-0123-Fri,20170127,1
B-0123-Thu,20170126,1
B-0123-Wed,20170125,1
B-0123-Tue,20170124,1
B-0123-Mon,20170123,1
B-0108-Sun,20170122,1
B-0107-Sat,20170121,1
B-0103-Fri,20170120,1
B-0103-Thu,20170119,1
B-0103-Wed,20170118,1
B-0103-Tue,20170117,1
B-0103-Mon,20170116,1
B-0108-Sun,20170115,1
B-0107-Sat,20170114,1
B-0103-Fri,20170113,1
B-0103-Thu,20170112,1
