fare_id,price,currency_type,payment_method,transfers
01-01,5.30,CAD,1,
01-02,5.30,CAD,1,
01-03,5.60,CAD,1,
01-04,5.30,CAD,1,
01-05,5.65,CAD,1,
01-06,5.65,CAD,1,
01-07,6.85,CAD,1,
01-08,6.80,CAD,1,
01-09,7.05,CAD,1,
01-11,6.75,CAD,1,
01-12,7.90,CAD,1,
01-13,8.65,CAD,1,
01-14,9.85,CAD,1,
01-15,10.70,CAD,1,
01-16,10.90,CAD,1,
01-17,11.65,CAD,1,
01-18,12.10,CAD,1,
01-19,5.65,CAD,1,
01-20,6.75,CAD,1,
01-21,8.75,CAD,1,
01-22,9.20,CAD,1,
01-23,9.85,CAD,1,
01-24,10.85,CAD,1,
01-26,16.05,CAD,1,
01-27,17.20,CAD,1,
01-28,14.05,CAD,1,
01-29,15.95,CAD,1,
01-30,19.10,CAD,1,
01-31,7.70,CAD,1,
01-32,8.50,CAD,1,
01-33,9.15,CAD,1,
01-34,10.30,CAD,1,
01-35,11.10,CAD,1,
01-37,12.60,CAD,1,
01-38,13.60,CAD,1,
01-39,14.30,CAD,1,
01-41,10.55,CAD,1,
01-42,11.80,CAD,1,
01-43,12.25,CAD,1,
01-44,10.15,CAD,1,
01-45,10.90,CAD,1,
01-46,12.10,CAD,1,
01-51,10.95,CAD,1,
01-52,11.90,CAD,1,
01-53,13.25,CAD,1,
01-54,14.35,CAD,1,
01-55,15.50,CAD,1,
01-56,7.20,CAD,1,
01-57,8.50,CAD,1,
01-58,8.95,CAD,1,
01-60,7.15,CAD,1,
01-61,7.25,CAD,1,
01-62,8.30,CAD,1,
01-63,9.05,CAD,1,
01-64,9.90,CAD,1,
01-65,10.90,CAD,1,
01-66,12.10,CAD,1,
01-67,12.70,CAD,1,
01-68,13.55,CAD,1,
01-69,14.05,CAD,1,
01-70,8.00,CAD,1,
01-71,8.20,CAD,1,
01-72,8.35,CAD,1,
01-73,8.95,CAD,1,
01-74,10.15,CAD,1,
01-75,11.05,CAD,1,
01-76,11.65,CAD,1,
01-77,5.65,CAD,1,
01-80,12.10,CAD,1,
01-81,14.00,CAD,1,
01-82,14.70,CAD,1,
01-83,16.85,CAD,1,
01-84,18.75,CAD,1,
01-85,15.95,CAD,1,
01-86,11.30,CAD,1,
01-87,12.30,CAD,1,
01-88,11.40,CAD,1,
01-89,10.45,CAD,1,
01-90,10.45,CAD,1,
01-91,8.35,CAD,1,
01-92,9.10,CAD,1,
01-93,10.15,CAD,1,
01-94,10.85,CAD,1,
01-95,11.20,CAD,1,
01-96,11.70,CAD,1,
01-97,12.45,CAD,1,
02-01,5.30,CAD,1,
02-02,5.30,CAD,1,
02-03,5.60,CAD,1,
02-04,5.65,CAD,1,
02-05,5.65,CAD,1,
02-06,5.65,CAD,1,
02-07,6.85,CAD,1,
02-08,6.80,CAD,1,
02-09,7.05,CAD,1,
02-11,6.75,CAD,1,
02-12,7.90,CAD,1,
02-13,8.65,CAD,1,
02-14,9.85,CAD,1,
02-15,10.70,CAD,1,
02-16,10.90,CAD,1,
02-17,11.65,CAD,1,
02-18,12.10,CAD,1,
02-19,5.65,CAD,1,
02-20,6.75,CAD,1,
02-21,8.75,CAD,1,
02-22,9.20,CAD,1,
02-23,9.85,CAD,1,
02-24,10.85,CAD,1,
02-26,16.05,CAD,1,
02-27,17.20,CAD,1,
02-28,14.05,CAD,1,
02-29,15.95,CAD,1,
